Time,PosX,PosY,PosZ,VelX,VelY,VelZ
0,0.540338342552412,1.17605569574517,2.60789905338084,1.62833707850496,-8.42030634137404,-9.44803829383826
0.05,0.62175519647766,0.755040378676464,2.13549713868893,1.61856705603393,-8.3697845033258,-9.87890706407523
0.1,0.702683549279357,0.336551153510174,1.64155178548517,1.60885565369773,-8.31956579630585,-10.3071906216908
0.15,0.783126331964243,0.0794271363051183,1.12619225440063,1.59920251977554,8.26964840152801,-10.7329044779606
0.2,0.863086457953021,0.492909556381519,0.589547030502599,1.58960730465689,8.22003051111884,-11.1560640510929
0.25,0.942566823185865,0.903911081937461,0.0317438279479554,1.58006966082895,8.17071032805213,-11.5766846667863
0.3,1.02157030622731,1.31244659834007,0.54709040539136,1.57058924286397,8.12168606608381,11.9947815587856
0.35,1.10009976837051,1.71853090164426,1.14682948333064,1.56116570740679,8.07295594968731,11.4352558694329
0.4,1.17815805374085,2.12217869912862,1.71859227680228,1.55179871316235,8.02451821398919,10.8790873342163
0.45,1.25574798939897,2.52340460982808,2.2625466435131,1.54248792088338,7.97637110470525,10.326255810211
0.5,1.33287238544314,2.92222316506335,2.77885943402365,1.53323299335808,7.92851287807702,9.77674127534972
0.55,1.40953403511104,3.3186488089672,3.26769649779113,1.52403359539793,7.88094180080856,9.23052382769762
0.6,1.48573571488094,3.71269589900762,3.72922268917602,1.51488939382554,7.83365615000371,8.68758368473144
0.65,1.56148018457221,4.10437870650781,4.16360187341259,1.50580005746259,7.78665421310369,8.14790118262305
0.7,1.63677018744534,4.49371141716299,4.57099693254374,1.49676525711781,7.73993428782506,7.61145677552731
0.75,1.71160845030123,4.88070813155425,4.95156977132011,1.4877846655751,7.69349468209811,7.07823103487415
0.8,1.78599768357999,5.26538286565915,5.30548132306381,1.47885795758165,7.64733371400552,6.5482046486649
0.85,1.85994058145907,5.64774955135943,5.63289155549706,1.46998480983616,7.60144971172149,6.02135842077291
0.9,1.93343982195088,6.0278220369455,5.93395947653571,1.46116490097715,7.55584101345116,5.49767327024828
0.95,2.00649806699974,6.40561408761806,6.20884314004812,1.45239791157128,7.51050596737045,4.97713023062679
1,2.0791179625783,6.78113938598658,6.45769965157946,1.44368352410186,7.46544293156623,4.45971044924303
1.05,2.15130213878339,7.15441153256489,6.68068517404161,1.43502142295724,7.42065027397683,3.94539518654757
1.1,2.22305320993126,7.52544404626374,6.87795493336899,1.4264112944195,7.37612637233297,3.43416581542828
1.15,2.29437377465223,7.89425036488039,7.0496632241404,1.41785282665298,7.33186961409898,2.92600382053571
1.2,2.36526641598488,8.26084384558533,7.19596341516719,1.40934570969307,7.28787839641438,2.4208907976125
1.25,2.43573370146953,8.62523776540605,7.31700795504781,1.40088963543491,7.2441511260359,1.91880845282682
1.3,2.50577818324128,8.98744532170785,7.41294837768915,1.3924842976223,7.20068621927968,1.41973860210986
1.35,2.57540239812239,9.34747963267183,7.48393530779465,1.38412939183656,7.157482101964,0.923663170497203
1.4,2.64460886771422,9.70535373777003,7.53011846631951,1.37582461548555,7.11453720935222,0.43056419147422
1.45,2.7134000984885,9.93891940176236,7.55164667589322,1.36756966779263,-7.0718499860961,-0.0595761936746257
1.5,2.78177858187813,9.58532690245755,7.54866786620949,1.35936424978588,-7.02941888617953,-0.546775736512578
1.55,2.84974679436742,9.23385595814858,7.52132907938386,1.35120806428716,-6.98724237286245,-1.0310520820935
1.6,2.91730719758178,8.88449383950545,7.46977647527918,1.34310081590144,-6.94531891862528,-1.51242276960094
1.65,2.98446223837685,8.53722789357419,7.39415533679914,1.33504221100603,-6.90364700511352,-1.99090523298334
1.7,3.05121434892716,8.19204554331851,7.29461007514997,1.32703195773999,-6.86222512308284,-2.46651680158544
1.75,3.11756594681416,7.84893428716437,7.1712842350707,1.31906976599355,-6.82105177234435,-2.93927470077592
1.8,3.18351943511383,7.50788169854715,7.0243205000319,1.31115534739759,-6.78012546171028,-3.40919605257127
1.85,3.24907720248371,7.16887542546164,6.85386069740334,1.30328841531321,-6.73944470894002,-3.87629787625584
1.9,3.31424162324937,6.83190319001464,6.66004580359055,1.29546868482133,-6.69900804068638,-4.34059708899831
1.95,3.37901505749044,6.49695278798032,6.44301594914063,1.2876958727124,-6.65881399244226,-4.80211050646432
2,3.44339985112606,6.16401208835821,6.20291042381741,1.27996969747612,-6.61886110848761,-5.26085484342553
2.05,3.50739833599987,5.83306903293383,5.93986768164614,1.27228987929127,-6.57914794183668,-5.71684671436498
2.1,3.57101282996443,5.50411163584199,5.65402534592789,1.26465614001552,-6.53967305418566,-6.17010263407879
2.15,3.63424563696521,5.17712798313271,5.34552021422395,1.25706820317543,-6.50043501586055,-6.62063901827431
2.2,3.69709904712398,4.85210623233968,5.01448826331023,1.24952579395637,-6.46143240576538,-7.06847218416467
2.25,3.7595753368218,4.52903461205141,4.661064654102,1.24202863919264,-6.42266381133079,-7.51361835105968
2.3,3.82167676878143,4.20790142148487,4.28538373654902,1.23457646735748,-6.3841278284628,-7.95609364095332
2.35,3.8834055921493,3.88869503006173,3.88757905450135,1.22716900855334,-6.34582306149203,-8.3959140791076
2.4,3.94476404257697,3.57140387698713,3.46778335054597,1.21980599450202,-6.30774812312308,-8.83309559463296
2.45,4.00575434230207,3.25601647083098,3.02612857081432,1.212487158535,-6.26990163438434,-9.26765402106516
2.5,4.06637870022882,2.94252138911176,2.56274586976106,1.20521223558379,-6.23228222457803,-9.69960509693877
2.55,4.12663931200801,2.63090727788286,2.07776561491413,1.19798096217029,-6.19488853123056,-10.1289644663571
2.6,4.18653836011652,2.32116285132133,1.57131739159627,1.19079307639727,-6.15771920004318,-10.555747679559
2.65,4.24607801393639,2.01327689131917,1.04353000761832,1.18364831793889,-6.12077288484292,-10.9799701934816
2.7,4.30526042983333,1.70723824707703,0.494531497944237,1.17654642803125,-6.08404824753386,-11.4016473723208
2.75,4.36408775123489,1.40303583470033,0.0755508706718008,1.16948714946306,-6.04754395804866,11.8207944880868
2.8,4.42256210870805,1.1006586367979,0.666590595076142,1.16247022656629,-6.01125869430037,11.2623127211583
2.85,4.48068562003636,0.800095702082881,1.22970623113406,1.15549540520689,-5.97519114213457,10.7071818448314
2.9,4.5384603902967,0.501336144976153,1.76506532337563,1.14856243277565,-5.93933999528176,10.1553817537624
2.95,4.59588851193549,0.204369145212065,2.27283441106374,1.14167105817899,-5.90370395531007,9.60689246323979
3,4.65297206484444,0.0908160525534383,2.75317903422573,1.13482103182992,5.86828173157821,9.06169410846035
3.05,4.70971311643593,0.384230139132349,3.20626373964875,1.12801210563894,5.83307204118874,8.51976694380959
3.1,4.76611372171788,0.675883741191786,3.63225208683923,1.12124403300511,5.79807360894161,7.98109134214673
